nom,dates,domaine_lieu,contributions,image,
Augustin-Louis Cauchy,1789-1857,mathématicien français,analyse (définitions de convergence - suites de Cauchy - analyse complexe)/algèbre (déterminant - polynôme caractéristique - diagonalisation), https://commons.wikimedia.org/wiki/File:Augustin-Louis_Cauchy_1901.jpg
Niels Henrik Abel,1802-1829,mathématicien norvégien,algèbre (groupes abéliens)/analyse (intégrales elliptiques - fonctions abéliennes) https://commons.wikimedia.org/wiki/File:Niels_Henrik_Abel_(detail).jpeg
Evariste Galois,1811-1832,mathématicien français,théorie des groupes / théorie des équations / théorie de Galois, https://commons.wikimedia.org/wiki/File:Evariste_galois.jpg
Karl Weierstrass,1815-1897,mathématicien allemand,analyse (fonctions elliptiques), https://commons.wikimedia.org/wiki/File:Karl_Weierstrass_2.jpg
Bernhard Riemann,1826-1866,mathématicien allemand,analyse réelle (sommes de Riemann - intégrales de Riemann)/analyse complexe (sphère de Riemann - hypothèse de Riemann)/gémétries, https://commons.wikimedia.org/wiki/File:Georg_Friedrich_Bernhard_Riemann.jpeg
Richard Dedekind,1831-1916,mathématicien allemand,reconstruction des nombres, https://commons.wikimedia.org/wiki/File:Richard_Dedekind_1900s.jpg
Georg Cantor, 1845-1918,mathématicien allemand,théorie des ensembles, https://commons.wikimedia.org/wiki/File:Georg_Cantor2.jpg
Henri Poincaré,1854-1912,mathématicien physicien et théoricien et philosophe des sciences français, problème à trois corps/conjecture de Poincaré/théorie du chaos/théorie de la relativité, https://commons.wikimedia.org/wiki/File:Poincare.jpg
Giuseppe Peano,1858-1932,mathématicien et linguiste italien, Axiomes de Peano/courbe de Peano, https://commons.wikimedia.org/wiki/File:Giuseppe_Peano.jpg
David Hilbert,1862-1943,mathématicien allemand,problèmes de Hilbert/théorie des invariants/axiomatisation de la géométrie, https://commons.wikimedia.org/wiki/File:David_Hilbert_1886.jpg
Bertrand Russel,1872-1970,mathématicien logicien philosophe et homme politique anglais,logique,https://commons.wikimedia.org/wiki/File:Bertrand_Russell_transparent_bg.png
Henri Lebesgue,1875-1941,mathématicien français,théorie de l'intégration/intégrale de Lebesgue/théorie de la mesure,https://upload.wikimedia.org/wikipedia/commons/3/3a/LebesgueH.gif
Emmy Noether,1882-1935,mathématicienne allemande,algèbre abstraite/physique théorique,https://commons.wikimedia.org/wiki/File:Emmy-noether-2.jpg
Stefan Banach,1892-1945,mathématicien polonais, analyse fonctionnelle/espaces de Banach/algèbre de Banach / paradoxe de Banach Tarski, https://upload.wikimedia.org/wikipedia/commons/5/51/Stefana_Banach_-_%D8%B3%D8%AA%D9%8A%D9%81%D8%A7%D9%86_%D8%A8%D9%86%D8%A7%D8%AE.jpg
Srinivasa Ramanujan,1887-1920,mathématicien indien, fonctions elliptiques/théorie analytique des nombres, https://commons.wikimedia.org/wiki/File:Srinivasa_Ramanujan_-_OPC_-_2.jpg
John von Neumann,1903-1957,mathématicien hongrois-américain,mécanique quantique/analyse fonctionnelle/informatique/sciences économiques,https://commons.wikimedia.org/wiki/File:John_von_Neumann.jpg
Alan Turing,1912-1954,mathématicien et cryptologue anglais,décidabilité/machine de Turing/test de Turing,https://commons.wikimedia.org/wiki/File:Alan_Turing_Age_16_Colorized.jpg





