capital;drapeau;etat
Niamey;Drapeau du Niger;Niger
Nicosie;Drapeau de Chypre;Chypre
Nouakchott;Drapeau de la Mauritanie;Mauritanie
Noursoultan28;Drapeau du Kazakhstan;Kazakhstan
Nuku'alofa;Drapeau des Tonga;Tonga
Oslo;Drapeau de la Norvège;Norvège
Ottawa;Drapeau du Canada;Canada
Ouagadougou;Drapeau du Burkina Faso;Burkina Faso
Oulan-Bator;Drapeau de la Mongolie;Mongolie
Palikir;Drapeau des États fédérés de Micronésie;États fédérés de Micronésie
Panama;Drapeau du Panama;Panama
Paramaribo;Drapeau du Suriname;Suriname
Paris;Drapeau de la France;France
La Paz (gouvernement et ambassades)29;Drapeau de la Bolivie;Bolivie
Pékin;Drapeau de la Chine;Chine
Phnom Penh;Drapeau du Cambodge;Cambodge
Podgorica;Drapeau du Monténégro;Monténégro
Port Moresby;Drapeau de la Papouasie-Nouvelle-Guinée;Papouasie-Nouvelle-Guinée
Port-au-Prince;Drapeau d'Haïti;Haïti
Port-d'Espagne;Drapeau de Trinité-et-Tobago;Trinité-et-Tobago
Port-Louis;Drapeau de Maurice;Maurice
Porto-Novo (administrative)30;Drapeau du Bénin;Bénin
Port-Vila;Drapeau du Vanuatu;Vanuatu
Prague;Drapeau de la République tchèque;République tchèque
Praia;Drapeau du Cap-Vert;Cap-Vert
Pretoria (capitale administrative)4;Drapeau d'Afrique du Sud;Afrique du Sud
Putrajaya (capitale administrative)25;Drapeau de la Malaisie;Malaisie
Pyongyang;Drapeau de la Corée du Nord;Corée du Nord
Quito;Drapeau de l'Équateur;Équateur
Rabat;Drapeau du Maroc;Maroc
Ramallah;Drapeau de la Palestine;Palestine
Reykjavik;Drapeau de l'Islande;Islande
Riga;Drapeau de la Lettonie;Lettonie
Riyad;Drapeau de l'Arabie saoudite;Arabie saoudite
Rome;Drapeau de l'Italie;Italie
Roseau;Drapeau de la Dominique;Dominique
Saint John's;Drapeau d'Antigua-et-Barbuda;Antigua-et-Barbuda
Saint-Domingue;Drapeau de la République dominicaine;République dominicaine
Saint-Georges;Drapeau de Grenade;Grenade
